TIMESTAMP,DATE TIME,SENSORID,PRESSURE
1500684135,2017/07/22 00:42:15,2,-8.5153
1500684145,2017/07/22 00:42:25,2,-8.513
1500684155,2017/07/22 00:42:35,2,-8.513
1500684165,2017/07/22 00:42:45,2,-8.5122
1500684175,2017/07/22 00:42:55,2,-8.5084
1500684185,2017/07/22 00:43:05,2,-8.5069
1500684195,2017/07/22 00:43:15,2,-8.5031
1500684205,2017/07/22 00:43:25,2,-8.4985
1500684215,2017/07/22 00:43:35,2,-8.4962
1500684225,2017/07/22 00:43:45,2,-8.4901
1500684235,2017/07/22 00:43:55,2,-8.4855
1500684245,2017/07/22 00:44:05,2,-8.4809
1500684255,2017/07/22 00:44:15,2,-8.4771
1500684266,2017/07/22 00:44:26,2,-8.4717
1500684275,2017/07/22 00:44:35,2,-8.4679
1500684286,2017/07/22 00:44:46,2,-8.4625
1500684295,2017/07/22 00:44:55,2,-8.458
1500684306,2017/07/22 00:45:06,2,-8.4518
1500684316,2017/07/22 00:45:16,2,-8.4472
1500684326,2017/07/22 00:45:26,2,-8.4411
1500684336,2017/07/22 00:45:36,2,-8.4373
1500684346,2017/07/22 00:45:46,2,-8.435
1500684356,2017/07/22 00:45:56,2,-8.4297
1500684366,2017/07/22 00:46:06,2,-8.4243
1500684376,2017/07/22 00:46:16,2,-8.4167
1500684386,2017/07/22 00:46:26,2,-8.4106
1500684396,2017/07/22 00:46:36,2,-8.4044
1500684406,2017/07/22 00:46:46,2,-8.3998
1500684416,2017/07/22 00:46:56,2,-8.3945
1500684427,2017/07/22 00:47:07,2,-8.3891
1500684437,2017/07/22 00:47:17,2,-8.3815
1500684447,2017/07/22 00:47:27,2,-8.3761
1500684457,2017/07/22 00:47:37,2,-8.3708
1500684467,2017/07/22 00:47:47,2,-8.3677
1500684477,2017/07/22 00:47:57,2,-8.3647
1500684487,2017/07/22 00:48:07,2,-8.3593
1500684497,2017/07/22 00:48:17,2,-8.3547
1500684507,2017/07/22 00:48:27,2,-8.3494
1500684517,2017/07/22 00:48:37,2,-8.3448
1500684527,2017/07/22 00:48:47,2,-8.341
1500684537,2017/07/22 00:48:57,2,-8.3372
1500684547,2017/07/22 00:49:07,2,-8.3333
1500684557,2017/07/22 00:49:17,2,-8.3303
1500684567,2017/07/22 00:49:27,2,-8.3257
1500684578,2017/07/22 00:49:38,2,-8.3219
1500684587,2017/07/22 00:49:47,2,-8.3157
1500684598,2017/07/22 00:49:58,2,-8.3112
1500684607,2017/07/22 00:50:07,2,-8.3066
1500684618,2017/07/22 00:50:18,2,-8.3028
1500684628,2017/07/22 00:50:28,2,-8.2982
1500684638,2017/07/22 00:50:38,2,-8.2943
1500684648,2017/07/22 00:50:48,2,-8.2913
1500684658,2017/07/22 00:50:58,2,-8.2882
1500684668,2017/07/22 00:51:08,2,-8.2836
1500684678,2017/07/22 00:51:18,2,-8.2806
1500684688,2017/07/22 00:51:28,2,-8.2768
1500684698,2017/07/22 00:51:38,2,-8.2737
1500684708,2017/07/22 00:51:48,2,-8.2691
1500684718,2017/07/22 00:51:58,2,-8.2645
1500684728,2017/07/22 00:52:08,2,-8.2584
1500684738,2017/07/22 00:52:18,2,-8.2538
1500684748,2017/07/22 00:52:28,2,-8.2477
1500684758,2017/07/22 00:52:38,2,-8.2416
1500684768,2017/07/22 00:52:48,2,-8.2362
1500684778,2017/07/22 00:52:58,2,-8.2309
1500684788,2017/07/22 00:53:08,2,-8.2255
1500684798,2017/07/22 00:53:18,2,-8.2217
1500684809,2017/07/22 00:53:29,2,-8.2164
1500684819,2017/07/22 00:53:39,2,-8.2125
1500684829,2017/07/22 00:53:49,2,-8.208
1500684839,2017/07/22 00:53:59,2,-8.2034
1500684849,2017/07/22 00:54:09,2,-8.1988
1500684859,2017/07/22 00:54:19,2,-8.1942
1500684869,2017/07/22 00:54:29,2,-8.1896
1500684879,2017/07/22 00:54:39,2,-8.1843
1500684889,2017/07/22 00:54:49,2,-8.1781
1500684899,2017/07/22 00:54:59,2,-8.1743
1500684909,2017/07/22 00:55:09,2,-8.1705
1500684919,2017/07/22 00:55:19,2,-8.1659
1500684929,2017/07/22 00:55:29,2,-8.1606
1500684939,2017/07/22 00:55:39,2,-8.156
1500684949,2017/07/22 00:55:49,2,-8.1521
1500684960,2017/07/22 00:56:00,2,-8.1476
1500684969,2017/07/22 00:56:09,2,-8.1437
1500684980,2017/07/22 00:56:20,2,-8.1414
1500684989,2017/07/22 00:56:29,2,-8.1391
1500685000,2017/07/22 00:56:40,2,-8.1384
1500685010,2017/07/22 00:56:50,2,-8.1353
1500685020,2017/07/22 00:57:00,2,-8.1323
1500685030,2017/07/22 00:57:10,2,-8.1315
1500685040,2017/07/22 00:57:20,2,-8.1292
1500685050,2017/07/22 00:57:30,2,-8.1292
1500685060,2017/07/22 00:57:40,2,-8.1261
1500685070,2017/07/22 00:57:50,2,-8.1254
1500685080,2017/07/22 00:58:00,2,-8.1231
1500685091,2017/07/22 00:58:11,2,-8.12
1500685100,2017/07/22 00:58:20,2,-8.117
1500685111,2017/07/22 00:58:31,2,-8.1109
1500685120,2017/07/22 00:58:40,2,-8.1078
1500685131,2017/07/22 00:58:51,2,-8.104
1500685140,2017/07/22 00:59:00,2,-8.0994
1500685151,2017/07/22 00:59:11,2,-8.094
1500685161,2017/07/22 00:59:21,2,-8.0902
1500685171,2017/07/22 00:59:31,2,-8.0856
1500685181,2017/07/22 00:59:41,2,-8.0765
1500685191,2017/07/22 00:59:51,2,-8.0665
1500685201,2017/07/22 01:00:01,2,-8.0604
1500685211,2017/07/22 01:00:11,2,-8.0589
1500685221,2017/07/22 01:00:21,2,-8.0581
1500685232,2017/07/22 01:00:32,2,-8.0528
1500685241,2017/07/22 01:00:41,2,-8.0489
1500685252,2017/07/22 01:00:52,2,-8.0443
1500685262,2017/07/22 01:01:02,2,-8.0405
1500685272,2017/07/22 01:01:12,2,-8.0352
1500685282,2017/07/22 01:01:22,2,-8.0306
1500685292,2017/07/22 01:01:32,2,-8.0283
1500685302,2017/07/22 01:01:42,2,-8.0275
1500685312,2017/07/22 01:01:52,2,-8.0252
1500685322,2017/07/22 01:02:02,2,-8.0222
1500685332,2017/07/22 01:02:12,2,-8.0183
1500685343,2017/07/22 01:02:23,2,-8.0107
1500685353,2017/07/22 01:02:33,2,-8.0046
1500685363,2017/07/22 01:02:43,2,-7.9985
1500685373,2017/07/22 01:02:53,2,-7.9939
1500685383,2017/07/22 01:03:03,2,-7.9901
1500685393,2017/07/22 01:03:13,2,-7.987
1500685403,2017/07/22 01:03:23,2,-7.9839
1500685413,2017/07/22 01:03:33,2,-7.9817
1500685423,2017/07/22 01:03:43,2,-7.9801
1500685433,2017/07/22 01:03:53,2,-7.9786
1500685443,2017/07/22 01:04:03,2,-7.9748
1500685454,2017/07/22 01:04:14,2,-7.9725
1500685463,2017/07/22 01:04:23,2,-7.9702
1500685474,2017/07/22 01:04:34,2,-7.9687
1500685484,2017/07/22 01:04:44,2,-7.9671
1500685494,2017/07/22 01:04:54,2,-7.9671
1500685504,2017/07/22 01:05:04,2,-7.9641
1500685514,2017/07/22 01:05:14,2,-7.961
1500685524,2017/07/22 01:05:24,2,-7.9587
1500685535,2017/07/22 01:05:35,2,-7.958
1500685545,2017/07/22 01:05:45,2,-7.9549
1500685555,2017/07/22 01:05:55,2,-7.9518
1500685565,2017/07/22 01:06:05,2,-7.9488
1500685575,2017/07/22 01:06:15,2,-7.948
1500685585,2017/07/22 01:06:25,2,-7.9457
1500685595,2017/07/22 01:06:35,2,-7.9457
1500685605,2017/07/22 01:06:45,2,-7.9434
1500685615,2017/07/22 01:06:55,2,-7.9411
1500685625,2017/07/22 01:07:05,2,-7.9381
1500685635,2017/07/22 01:07:15,2,-7.9343
1500685646,2017/07/22 01:07:26,2,-7.9289
1500685655,2017/07/22 01:07:35,2,-7.9228
1500685666,2017/07/22 01:07:46,2,-7.9167
1500685676,2017/07/22 01:07:56,2,-7.9136
1500685686,2017/07/22 01:08:06,2,-7.9113
1500685696,2017/07/22 01:08:16,2,-7.906
1500685706,2017/07/22 01:08:26,2,-7.9021
1500685716,2017/07/22 01:08:36,2,-7.8983
1500685727,2017/07/22 01:08:47,2,-7.8968
1500685736,2017/07/22 01:08:56,2,-7.8914
1500685747,2017/07/22 01:09:07,2,-7.8838
1500685757,2017/07/22 01:09:17,2,-7.8853
1500685767,2017/07/22 01:09:27,2,-7.883
1500685777,2017/07/22 01:09:37,2,-7.9266
1500685787,2017/07/22 01:09:47,2,-7.9832
1500685797,2017/07/22 01:09:57,2,-8.0413
1500685807,2017/07/22 01:10:07,2,-8.1009
1500685817,2017/07/22 01:10:17,2,-8.1575
1500685827,2017/07/22 01:10:27,2,-8.1797
1500685837,2017/07/22 01:10:37,2,-8.1743
1500685847,2017/07/22 01:10:47,2,-8.1674
1500685858,2017/07/22 01:10:58,2,-8.1628
1500685867,2017/07/22 01:11:07,2,-8.1598
1500685878,2017/07/22 01:11:18,2,-8.156
1500685888,2017/07/22 01:11:28,2,-8.1514
1500685898,2017/07/22 01:11:38,2,-8.143
1500685908,2017/07/22 01:11:48,2,-8.1384
1500685918,2017/07/22 01:11:58,2,-8.133
1500685928,2017/07/22 01:12:08,2,-8.1269
1500685938,2017/07/22 01:12:18,2,-8.1223
1500685948,2017/07/22 01:12:28,2,-8.117
1500685958,2017/07/22 01:12:38,2,-8.1116
1500685968,2017/07/22 01:12:48,2,-8.1078
1500685978,2017/07/22 01:12:58,2,-8.1032
1500685989,2017/07/22 01:13:09,2,-8.0994
1500685998,2017/07/22 01:13:18,2,-8.0956
1500686009,2017/07/22 01:13:29,2,-8.091
1500686019,2017/07/22 01:13:39,2,-8.0864
1500686029,2017/07/22 01:13:49,2,-8.0818
1500686039,2017/07/22 01:13:59,2,-8.0772
1500686049,2017/07/22 01:14:09,2,-8.0726
1500686059,2017/07/22 01:14:19,2,-8.0688
1500686069,2017/07/22 01:14:29,2,-8.065
1500686079,2017/07/22 01:14:39,2,-8.0619
1500686089,2017/07/22 01:14:49,2,-8.0581
1500686099,2017/07/22 01:14:59,2,-8.055
1500686109,2017/07/22 01:15:09,2,-8.052
1500686119,2017/07/22 01:15:19,2,-8.0489
1500686129,2017/07/22 01:15:29,2,-8.0436
1500686140,2017/07/22 01:15:40,2,-8.0405
1500686149,2017/07/22 01:15:49,2,-8.0382
1500686160,2017/07/22 01:16:00,2,-8.0352
1500686169,2017/07/22 01:16:09,2,-8.0313
1500686180,2017/07/22 01:16:20,2,-8.0291
1500686190,2017/07/22 01:16:30,2,-8.0268
1500686200,2017/07/22 01:16:40,2,-8.0252
1500686210,2017/07/22 01:16:50,2,-8.0222
1500686220,2017/07/22 01:17:00,2,-8.0191
1500686230,2017/07/22 01:17:10,2,-8.0161
1500686240,2017/07/22 01:17:20,2,-8.0115
1500686250,2017/07/22 01:17:30,2,-8.0092
1500686260,2017/07/22 01:17:40,2,-8.0069
1500686271,2017/07/22 01:17:51,2,-8.0038
1500686281,2017/07/22 01:18:01,2,-8.0008
1500686291,2017/07/22 01:18:11,2,-7.9969
1500686301,2017/07/22 01:18:21,2,-7.9931
1500686311,2017/07/22 01:18:31,2,-7.9908
1500686321,2017/07/22 01:18:41,2,-7.9885
1500686331,2017/07/22 01:18:51,2,-7.9855
1500686342,2017/07/22 01:19:02,2,-7.9817
1500686352,2017/07/22 01:19:12,2,-7.9771
1500686362,2017/07/22 01:19:22,2,-7.9725
1500686372,2017/07/22 01:19:32,2,-7.9694
1500686382,2017/07/22 01:19:42,2,-7.9664
1500686392,2017/07/22 01:19:52,2,-7.9625
1500686402,2017/07/22 01:20:02,2,-7.9587
1500686413,2017/07/22 01:20:13,2,-7.9549
1500686423,2017/07/22 01:20:23,2,-7.9526
1500686433,2017/07/22 01:20:33,2,-7.9511
1500686443,2017/07/22 01:20:43,2,-7.9488
1500686453,2017/07/22 01:20:53,2,-7.9457
1500686463,2017/07/22 01:21:03,2,-7.9442
1500686473,2017/07/22 01:21:13,2,-7.9419
1500686483,2017/07/22 01:21:23,2,-7.9396
1500686493,2017/07/22 01:21:33,2,-7.9365
1500686503,2017/07/22 01:21:43,2,-7.935
1500686513,2017/07/22 01:21:53,2,-7.9327
1500686523,2017/07/22 01:22:03,2,-7.9297
1500686533,2017/07/22 01:22:13,2,-7.9266
1500686544,2017/07/22 01:22:24,2,-7.9243
1500686553,2017/07/22 01:22:33,2,-7.9205
1500686564,2017/07/22 01:22:44,2,-7.9159
1500686574,2017/07/22 01:22:54,2,-7.9121
1500686584,2017/07/22 01:23:04,2,-7.9067
1500686594,2017/07/22 01:23:14,2,-7.9014
1500686604,2017/07/22 01:23:24,2,-7.8968
1500686614,2017/07/22 01:23:34,2,-7.8937
1500686624,2017/07/22 01:23:44,2,-7.8907
1500686634,2017/07/22 01:23:54,2,-7.8869
1500686644,2017/07/22 01:24:04,2,-7.883
1500686654,2017/07/22 01:24:14,2,-7.8784
1500686665,2017/07/22 01:24:25,2,-7.8739
1500686675,2017/07/22 01:24:35,2,-7.8693
1500686685,2017/07/22 01:24:45,2,-7.8647
1500686695,2017/07/22 01:24:55,2,-7.8601
1500686705,2017/07/22 01:25:05,2,-7.857
1500686715,2017/07/22 01:25:15,2,-7.8532
1500686725,2017/07/22 01:25:25,2,-7.8509
1500686735,2017/07/22 01:25:35,2,-7.8486
1500686745,2017/07/22 01:25:45,2,-7.8456
1500686756,2017/07/22 01:25:56,2,-7.8394
1500686765,2017/07/22 01:26:05,2,-7.8356
1500686776,2017/07/22 01:26:16,2,-7.8303
1500686785,2017/07/22 01:26:25,2,-7.8257
1500686796,2017/07/22 01:26:36,2,-7.8211
1500686806,2017/07/22 01:26:46,2,-7.8173
1500686816,2017/07/22 01:26:56,2,-7.8142
1500686826,2017/07/22 01:27:06,2,-7.8112
1500686836,2017/07/22 01:27:16,2,-7.8058
1500686846,2017/07/22 01:27:26,2,-7.802
1500686856,2017/07/22 01:27:36,2,-7.7982
1500686866,2017/07/22 01:27:46,2,-7.7936
1500686876,2017/07/22 01:27:56,2,-7.7882
1500686886,2017/07/22 01:28:06,2,-7.7829
1500686896,2017/07/22 01:28:16,2,-7.7775
1500686907,2017/07/22 01:28:27,2,-7.7714
1500686916,2017/07/22 01:28:36,2,-7.7653
1500686927,2017/07/22 01:28:47,2,-7.7607
1500686936,2017/07/22 01:28:56,2,-7.7554
1500686947,2017/07/22 01:29:07,2,-7.75
1500686957,2017/07/22 01:29:17,2,-7.7446
1500686967,2017/07/22 01:29:27,2,-7.7408
1500686977,2017/07/22 01:29:37,2,-7.7347
1500686987,2017/07/22 01:29:47,2,-7.7317
1500686997,2017/07/22 01:29:57,2,-7.7278
1500687007,2017/07/22 01:30:07,2,-7.724
