TIMESTAMP,DATE,TANK NUM,FUEL HEIGHT,WATER HEIGHT,TEMP 1,TEMP 2,TEMP 3,TEMP 4,TEMP 5,TEMP 6
1501460529,2017/07/31 00:22:09,1,69.3875,0.0,74.8378,75.4560,75.6878,75.3431,75.9889,79.2354
1501460534,2017/07/31 00:22:14,1,69.3894,0.0,74.8373,75.4559,75.6890,75.3430,75.9884,79.2357
1501460539,2017/07/31 00:22:19,1,69.3889,0.0,74.8373,75.4559,75.6890,75.3430,75.9884,79.2357
1501460544,2017/07/31 00:22:24,1,69.3889,0.0,74.8362,75.4557,75.6888,75.3437,75.9886,79.2346
1501460549,2017/07/31 00:22:29,1,69.3884,0.0,74.8362,75.4557,75.6888,75.3437,75.9886,79.2346
1501460554,2017/07/31 00:22:34,1,69.3889,0.0,74.8357,75.4557,75.6883,75.3432,75.9894,79.2346
1501460559,2017/07/31 00:22:39,1,69.3888,0.0,74.8357,75.4557,75.6883,75.3432,75.9894,79.2346
1501460564,2017/07/31 00:22:44,1,69.3894,0.0,74.8355,75.4563,75.6880,75.3433,75.9900,79.2352
1501460569,2017/07/31 00:22:49,1,69.3889,0.0,74.8355,75.4563,75.6880,75.3433,75.9900,79.2352
1501460574,2017/07/31 00:22:54,1,69.3884,0.0,74.8351,75.4568,75.6881,75.3434,75.9897,79.2357
1501460579,2017/07/31 00:22:59,1,69.3894,0.0,74.8351,75.4568,75.6881,75.3434,75.9897,79.2357
1501460584,2017/07/31 00:23:04,1,69.3889,0.0,74.8343,75.4572,75.6885,75.3425,75.9892,79.2357
1501460589,2017/07/31 00:23:09,1,69.3889,0.0,74.8343,75.4572,75.6885,75.3425,75.9892,79.2357
1501460594,2017/07/31 00:23:14,1,69.3894,0.0,74.8343,75.4577,75.6882,75.3426,75.9889,79.2367
1501460599,2017/07/31 00:23:19,1,69.3894,0.0,74.8343,75.4577,75.6882,75.3426,75.9889,79.2367
1501460604,2017/07/31 00:23:24,1,69.3899,0.0,74.8335,75.4573,75.6877,75.3426,75.9897,79.2358
1501460609,2017/07/31 00:23:29,1,69.3889,0.0,74.8335,75.4573,75.6877,75.3426,75.9897,79.2358
1501460614,2017/07/31 00:23:34,1,69.3881,0.0,74.8315,75.4579,75.6871,75.3424,75.9899,79.2342
1501460619,2017/07/31 00:23:39,1,69.3843,0.0,74.8315,75.4579,75.6871,75.3424,75.9899,79.2342
1501460624,2017/07/31 00:23:44,1,69.3788,0.0,74.8316,75.4571,75.6880,75.3420,75.9900,79.2325
1501460629,2017/07/31 00:23:49,1,69.3722,0.0,74.8316,75.4571,75.6880,75.3420,75.9900,79.2325
1501460634,2017/07/31 00:23:54,1,69.3679,0.0,74.8312,75.4572,75.6885,75.3430,75.9901,79.2326
1501460639,2017/07/31 00:23:59,1,69.3632,0.0,74.8312,75.4572,75.6885,75.3430,75.9901,79.2326
1501460644,2017/07/31 00:24:04,1,69.3574,0.0,74.8301,75.4578,75.6887,75.3419,75.9907,79.2323
1501460649,2017/07/31 00:24:09,1,69.3515,0.0,74.8301,75.4578,75.6887,75.3419,75.9907,79.2323
1501460654,2017/07/31 00:24:14,1,69.347,0.0,74.8288,75.4578,75.6887,75.3423,75.9911,79.2319
1501460659,2017/07/31 00:24:19,1,69.3405,0.0,74.8288,75.4578,75.6887,75.3423,75.9911,79.2319
1501460664,2017/07/31 00:24:24,1,69.3354,0.0,74.8278,75.4572,75.6885,75.3430,75.9905,79.2313
1501460669,2017/07/31 00:24:29,1,69.3324,0.0,74.8278,75.4572,75.6885,75.3430,75.9905,79.2313
1501460674,2017/07/31 00:24:34,1,69.3301,0.0,74.8278,75.4572,75.6885,75.3430,75.9905,79.2313
1501460679,2017/07/31 00:24:39,1,69.3314,0.0,74.8281,75.4558,75.6884,75.3433,75.9899,79.2294
1501460684,2017/07/31 00:24:44,1,69.3301,0.0,74.8281,75.4558,75.6884,75.3433,75.9899,79.2294
1501460689,2017/07/31 00:24:49,1,69.3319,0.0,74.8296,75.4560,75.6891,75.3439,75.9902,79.2292
1501460694,2017/07/31 00:24:54,1,69.3304,0.0,74.8296,75.4560,75.6891,75.3439,75.9902,79.2292
1501460699,2017/07/31 00:24:59,1,69.3314,0.0,74.8290,75.4558,75.6889,75.3438,75.9904,79.2285
